id,name,category,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,sets,seconds_per_set,repetitions_per_set,rest,video,thumbnail,pro_only,uses_weights,thumbnail_url,video_url,s3_video_url,s3_thumbnail_url
372,Arnold press - DBs,strength,Front Shoulders,"Upper Back, Triceps, Shoulders",Intermediate,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_db012.mp4,1cf4c0d20e0216616aad54e9b5b12619ace8.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/1cf4c0d20e0216616aad54e9b5b12619ace8.png,https://static.virtuagym.com/videos/2023_db012.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_db012.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/1cf4c0d20e0216616aad54e9b5b12619ace8.png
283,"Marching in place, duration",cardio,Cardiovascular System,Full Body,Novice,-,time_based,0,,,"30,30,30,30,30",2023_cw002.mp4,9cc39395b7bfff93578622ef9b97275ca1d2.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/9cc39395b7bfff93578622ef9b97275ca1d2.png,https://static.virtuagym.com/videos/2023_cw002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_cw002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/9cc39395b7bfff93578622ef9b97275ca1d2.png
49,Crunch - FB,strength,Abs - Straight Abs,,Intermediate,Exercise ball,repetition_based,3,,"10,10,10","30,30,30,30,30",2023_eb016.mp4,45a4438efb6082ab771e2df1c9f9a296d48a.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/45a4438efb6082ab771e2df1c9f9a296d48a.png,https://static.virtuagym.com/videos/2023_eb016.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_eb016.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/45a4438efb6082ab771e2df1c9f9a296d48a.png
177,Crunch,strength,Abs - Straight Abs,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xa003.mp4,871ddcce3027a5ca908920b266dd7b794b1d.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/871ddcce3027a5ca908920b266dd7b794b1d.png,https://static.virtuagym.com/videos/2023_xa003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xa003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/871ddcce3027a5ca908920b266dd7b794b1d.png
199,"One arm side row, left - DB",strength,Upper Back,"Biceps, Lats, Back Shoulders",Intermediate,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_db006.mp4,6535491f6a1e1731320b2341a9964b8c3c52.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/6535491f6a1e1731320b2341a9964b8c3c52.png,https://static.virtuagym.com/videos/2023_db006.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_db006.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/6535491f6a1e1731320b2341a9964b8c3c52.png
162,Air squat,strength,Quads,"Glutes, Hamstrings, Lower Back",Novice,-,repetition_based,3,,"10,10,10","30,30,30,30,30",2023_xl001.mp4,be5ccfca084c6e20a78e065e213100452944.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/be5ccfca084c6e20a78e065e213100452944.png,https://static.virtuagym.com/videos/2023_xl001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xl001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/be5ccfca084c6e20a78e065e213100452944.png
463,Air squat sumo,strength,Quads,"Glutes, Hamstrings, Lower Back, Abductor",Beginner,-,repetition_based,3,,"12,12,12","30,30,30,30,30",2023_xl015.mp4,ced0eab98bb57da58453e931685078cd201f.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/ced0eab98bb57da58453e931685078cd201f.png,https://static.virtuagym.com/videos/2023_xl015.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xl015.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/ced0eab98bb57da58453e931685078cd201f.png
181,Windmill,strength,Obliques,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xf002.mp4,6382974eb8724c8f318e5f7b2785e5340b4b.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/6382974eb8724c8f318e5f7b2785e5340b4b.png,https://static.virtuagym.com/videos/2023_xf002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xf002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/6382974eb8724c8f318e5f7b2785e5340b4b.png
275,Sicilian crunch - Plate,strength,All Abs,,Novice,Weight plate,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_da001.mp4,44c81e70b18ea2f9888e83cfe17440b6138a.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/44c81e70b18ea2f9888e83cfe17440b6138a.png,https://static.virtuagym.com/videos/2023_da001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_da001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/44c81e70b18ea2f9888e83cfe17440b6138a.png
169,Push-up wall,strength,Chest,Triceps,Novice,Wall,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xc006.mp4,8cb5878c9f9c867d2920684b145420c75d45.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/8cb5878c9f9c867d2920684b145420c75d45.png,https://static.virtuagym.com/videos/2023_xc006.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xc006.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/8cb5878c9f9c867d2920684b145420c75d45.png
1990,"Leg cross lying, alternated",strength,Abs - Straight Abs,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xa021.mp4,fbbaba8b1dc7786276ab704ca9537d6c2d84.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/fbbaba8b1dc7786276ab704ca9537d6c2d84.png,https://static.virtuagym.com/videos/2023_xa021.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xa021.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/fbbaba8b1dc7786276ab704ca9537d6c2d84.png
281,"Jumping jacks, duration",cardio,Cardiovascular System,Full Body,Novice,-,time_based,0,,,"30,30,30,30,30",2023_cw003.mp4,f7f6d1f736faa42110dd60307430e5891a6c.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/f7f6d1f736faa42110dd60307430e5891a6c.png,https://static.virtuagym.com/videos/2023_cw003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_cw003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/f7f6d1f736faa42110dd60307430e5891a6c.png
209,"Concentration curl, right - DB",strength,Biceps,,Novice,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_di002m.mp4,ddcf269cd1bbcce58497d5e3a34d983ad313.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/ddcf269cd1bbcce58497d5e3a34d983ad313.png,https://static.virtuagym.com/videos/2023_di002m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_di002m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/ddcf269cd1bbcce58497d5e3a34d983ad313.png
397,"Cooling down, duration",cardio,Full Body,,Novice,-,time_based,0,,,"30,30,30,30,30",2023_cw002.mp4,30764c7e8ff2c17eee2f522992217200b677.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/30764c7e8ff2c17eee2f522992217200b677.png,https://static.virtuagym.com/videos/2023_cw002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_cw002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/30764c7e8ff2c17eee2f522992217200b677.png
208,"Concentration curl, left - DB",strength,Biceps,,Novice,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_di002.mp4,976304ea4f9061f01d777e244da4b3b4eed8.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/976304ea4f9061f01d777e244da4b3b4eed8.png,https://static.virtuagym.com/videos/2023_di002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_di002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/976304ea4f9061f01d777e244da4b3b4eed8.png
174,Front rotation,strength,Middle Shoulders,"Back Shoulders, Front Shoulders",Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xs003.mp4,5a9682d712c0ba534e58a857d502f298e695.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/5a9682d712c0ba534e58a857d502f298e695.png,https://static.virtuagym.com/videos/2023_xs003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xs003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/5a9682d712c0ba534e58a857d502f298e695.png
398,"Side bend, left - DB",strength,Obliques,,Novice,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_da002m.mp4,2bff4941f2c54d2c156e8210d388404ecb49.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/2bff4941f2c54d2c156e8210d388404ecb49.png,https://static.virtuagym.com/videos/2023_da002m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_da002m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/2bff4941f2c54d2c156e8210d388404ecb49.png
172,"Superman, alternated",strength,Lower Back,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xb003.mp4,9cd19773bd0809509560c1c53c63d349e1f1.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/9cd19773bd0809509560c1c53c63d349e1f1.png,https://static.virtuagym.com/videos/2023_xb003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xb003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/9cd19773bd0809509560c1c53c63d349e1f1.png
200,"One arm side row, right - DB",strength,Upper Back,"Biceps, Lats, Back Shoulders",Intermediate,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_db006m.mp4,f9a88de5f49cce4888ffd6e10226b0fd23a6.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/f9a88de5f49cce4888ffd6e10226b0fd23a6.png,https://static.virtuagym.com/videos/2023_db006m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_db006m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/f9a88de5f49cce4888ffd6e10226b0fd23a6.png
180,Sun Salutation,strength,Full Body,,Intermediate,-,repetition_based,1,,3,"30,30,30,30,30",2023_xf001.mp4,43e73979328b8a72e737715ca128dd3b5ec0.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/43e73979328b8a72e737715ca128dd3b5ec0.png,https://static.virtuagym.com/videos/2023_xf001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xf001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/43e73979328b8a72e737715ca128dd3b5ec0.png
399,"Side bend, right - DB",strength,Obliques,All Abs,Novice,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_da002.mp4,3df22f750cb692e303f565e3a242a29da17f.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/3df22f750cb692e303f565e3a242a29da17f.png,https://static.virtuagym.com/videos/2023_da002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_da002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/3df22f750cb692e303f565e3a242a29da17f.png
178,Human board high,cardio,Abs - Straight Abs,,Novice,-,time_based,0,,,"30,30,30,30,30",2023_xa004.mp4,ab6dcabadc9e463f3847b886e8db20e7c616.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/ab6dcabadc9e463f3847b886e8db20e7c616.png,https://static.virtuagym.com/videos/2023_xa004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xa004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/ab6dcabadc9e463f3847b886e8db20e7c616.png
356,Stiff legged deadlift - Barbell,strength,"Lower Back, Hamstrings, Glutes",,Beginner,Barbell,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_oa015.mp4,278c12d359d15bebd30e027813fa5b24cb23.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/278c12d359d15bebd30e027813fa5b24cb23.png,https://static.virtuagym.com/videos/2023_oa015.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_oa015.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/278c12d359d15bebd30e027813fa5b24cb23.png
182,"Biceps curl standing, alternated - DBs",strength,Biceps,,Novice,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_dl001.mp4,0d24d316e017442f89f3a60c18eb189b39c7.png,FALSE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/0d24d316e017442f89f3a60c18eb189b39c7.png,https://static.virtuagym.com/videos/2023_dl001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_dl001.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/0d24d316e017442f89f3a60c18eb189b39c7.png
411,Side raise seated - DBs,strength,Shoulders,,Novice,"Dumbbells, Bench",repetition_based,3,,"12,10,8","30,30,30,30,30",2023_ds004.mp4,529d2078bf29c8d529894017e60e19c5aeb1.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/529d2078bf29c8d529894017e60e19c5aeb1.png,https://static.virtuagym.com/videos/2023_ds004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_ds004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/529d2078bf29c8d529894017e60e19c5aeb1.png
176,Lying leg raise,strength,Abs - Straight Abs,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xa002.mp4,eacbd8578e75cfa868a805c383e434e656cf.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/eacbd8578e75cfa868a805c383e434e656cf.png,https://static.virtuagym.com/videos/2023_xa002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xa002.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/eacbd8578e75cfa868a805c383e434e656cf.png
424,Goblet squat - DB,strength,"Quads, Glutes",Legs,Intermediate,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_rob078.mp4,bcc479948d7909decf96ff403cf8f2af60af.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/bcc479948d7909decf96ff403cf8f2af60af.png,https://static.virtuagym.com/videos/2023_rob078.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_rob078.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/bcc479948d7909decf96ff403cf8f2af60af.png
260,Back raise hands on ground,strength,Lower Back,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1479.mp4,f0ceaee995c3b986f8bad94e340bca92a4e9.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/f0ceaee995c3b986f8bad94e340bca92a4e9.png,https://static.virtuagym.com/videos/2023_id1479.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_id1479.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/f0ceaee995c3b986f8bad94e340bca92a4e9.png
408,Biceps curl two sides - DBs,strength,Biceps,,Intermediate,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_oa032.mp4,a232d6fdade0e4e6d9b8ae96cf4a692f436c.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/a232d6fdade0e4e6d9b8ae96cf4a692f436c.png,https://static.virtuagym.com/videos/2023_oa032.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_oa032.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/a232d6fdade0e4e6d9b8ae96cf4a692f436c.png
163,"Lunge, alternated",strength,Quads,"Glutes, Hamstrings",Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_rob025a.mp4,67903697d81c34a8718a2f4b36c9916e7ba4.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/67903697d81c34a8718a2f4b36c9916e7ba4.png,https://static.virtuagym.com/videos/2023_rob025a.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_rob025a.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/67903697d81c34a8718a2f4b36c9916e7ba4.png
1997,Russian twist - DB,strength,Obliques,All Abs,Novice,Dumbbells,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_da004.mp4,ae1102e4a1b7bc7140c9e6350ee55aba4eec.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/ae1102e4a1b7bc7140c9e6350ee55aba4eec.png,https://static.virtuagym.com/videos/2023_da004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_da004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/ae1102e4a1b7bc7140c9e6350ee55aba4eec.png
168,Push-up knees,strength,Chest,Triceps,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xc004.mp4,b49ea762df36aad3cf3dc2848ddcf3b313a1.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/b49ea762df36aad3cf3dc2848ddcf3b313a1.png,https://static.virtuagym.com/videos/2023_xc004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xc004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/b49ea762df36aad3cf3dc2848ddcf3b313a1.png
518,Rest,strength,,,Novice,-,time_based,0,,,"30,30,30,30,30",2023_sid0169.mp4,0caa95cef46920a85071b33db91879b58172.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/0caa95cef46920a85071b33db91879b58172.png,https://static.virtuagym.com/videos/2023_sid0169.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_sid0169.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/0caa95cef46920a85071b33db91879b58172.png
164,"Split squat, right",strength,Quads,"Glutes, Hamstrings, Lower Back",Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xl004m.mp4,750f26ec4dc2452dd749ee35670792347b70.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/750f26ec4dc2452dd749ee35670792347b70.png,https://static.virtuagym.com/videos/2023_xl004m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xl004m.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/750f26ec4dc2452dd749ee35670792347b70.png
4069,Ab rollout - FB,strength,Abs - Straight Abs,,Intermediate,Exercise ball,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_eb003.mp4,cecf9db72341fd4332284695236c3d9a9b56.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/cecf9db72341fd4332284695236c3d9a9b56.png,https://static.virtuagym.com/videos/2023_eb003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_eb003.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/cecf9db72341fd4332284695236c3d9a9b56.png
165,"Split squat, left",strength,Quads,"Glutes, Hamstrings, Lower Back",Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_xl004.mp4,6fc90524cd7efdb057ec19bad40881e8d964.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/6fc90524cd7efdb057ec19bad40881e8d964.png,https://static.virtuagym.com/videos/2023_xl004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/videos/2023_xl004.mp4,https://uploads.letsmove.com.s3.amazonaws.com/exercises/thumbnails/6fc90524cd7efdb057ec19bad40881e8d964.png
